No,Location ID,State,Area Code,Area Name,Premise Type,Premise Name,LatLong Location,PM Cycle,Last Maintenance Date,PM Date,Status,Commission Date,DLP End Date,DLP Period,Security Control,Guard Type,Current Active Service Requests
1,C1,Johor,6346,Johor Jaya,PMU GIS,PMU Pelangi,"1.576913, 103.791613",18,27/05/2025,18/11/2026,Commissioned,,,365,,,
2,C2,Johor,6330,Batu Pahat,Warehouse,Stor Batu Pahat,,18,11/09/2025,05/03/2027,Commissioned,,,365,Manned,,"827e3215-4b41-4770-948a-dd151949eaa1 , c28d5342-26dd-4e31-9add-405c09d5fc59"
3,C3,Johor,6330,Batu Pahat,Kedai Tenaga,KT Yong Peng,,18,11/11/2025,05/05/2027,Commissioned,12/30/2016,,365,Manned,Private Security,
4,C4,Johor,6333,Pontian,PMU SP,PMU Tg Bin,"1.334285, 103.536453",18,15/07/2025,06/01/2027,Commissioned,,,365,Manned,Auxilliary Police,"9322f6cd , cd4ca53e , 03671216-da1b-4582-8cd7-8b8fa692c086 , 3db4cf12-e594-45d6-81f2-d8cd3e9ee33b"
5,C5,Johor,6342,Kulai,PMU SP,PMU Bukit Batu,"1.758159, 103.427621",18,18/07/2025,09/01/2027,Commissioned,,,365,Manned,Auxilliary Police,"a1db7447 , 14745d94 , ef0462f4-d932-401e-8ed3-ca3333238556 , bae7af80-9dde-4b39-815f-b71e89b42901"
6,C6,Johor,6342,Kulai,Kedai Tenaga,KT Kulai,,18,23/10/2025,16/04/2027,Commissioned,12/30/2016,,365,Manned,Private Security,
7,C7,Johor,6345,Pasir Gudang,PMU GIS,PMU KOTA MASAI,"1.485675, 103.933639",18,29/07/2025,20/01/2027,Commissioned,12/2/2022,12/2/2023,365,Unmanned,,"abc22e0d , 621c41fa , f5fa7871 , 0ef0feb8"
8,C8,Johor,6340,Johor Bahru,Kedai Tenaga,KT UTC Johor,,18,23/10/2025,16/04/2027,Commissioned,12/30/2016,,365,Manned,Private Security,
9,C9,Johor,6330,Batu Pahat,Warehouse,Batu Pahat,,18,20/09/2024,14/03/2026,Commissioned,,,365,Manned,,"1e4e083b , 455c2480-d8e2-4076-9325-fbbe7640fa05 , 57e39682-6230-456d-a965-8fe5160d7889"
10,C10,Johor,6350,Muar,Kedai Tenaga,KT Muar,,18,24/10/2025,17/04/2027,Commissioned,12/30/2016,,365,Manned,Private Security,
11,C11,Johor,6340,Johor Bahru,PMU GIS,PMU GIS STULANG DARAT,"1.470672, 103.774651",18,04/12/2024,28/05/2026,Commissioned,2/4/2023,1/4/2024,365,Unmanned,,"994455c9 , 09fd77e3"
12,C12,Johor,6333,Pontian,Kedai Tenaga,KT Pontian,,18,24/10/2025,17/04/2027,Commissioned,12/30/2016,,365,Manned,Private Security,dfa095a2
13,C13,Johor,6346,Johor Jaya,PPU,PPU Taman Bestari Indah,"1.603933, 103.795997",18,16/06/2025,08/12/2026,Commissioned,6/13/2024,6/13/2025,365,Unmanned,,"8d040a31 , f642be9e-d8ad-42d8-8062-05d2d5c22050 , f141725c-e92b-4cc2-8ad7-54307f4f1126"
14,C14,Johor,6352,Segamat,Kedai Tenaga,KT Segamat,,18,11/11/2025,05/05/2027,Commissioned,12/30/2016,,365,Manned,Private Security,"a0203892 , 590e6dd3 , c8a56019"
15,C15,Johor,6345,Pasir Gudang,PPU,PPU 33/11KV JALAN KELULI 12 PASIR GUDANG,"1.477223, 103.913055",18,08/05/2025,30/10/2026,Commissioned,,,365,,,"b0a908a8 , f2c07e5a"
